level_0,index,society,price,sector,price_per_sqft,area,property_type,areaWithType,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,servant room,pooja room,study room,others,store room,furnishing_type,luxary_score
0,0,ireo victory valley,2.99,sector 67,11832.0,2527.0,flat,Super Built up area 2527(234.77 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2527.040803,2200.0,2100.0,3.0,3.0,3 ,4.0,East,relatively new,1,0,0,0,0,0,37
1,1,signature global park,0.58,sohna road,7056.0,822.0,flat,Built Up area: 822 (76.37 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),,822.0,600.0,2.0,2.0,2 ,3.0,,undefined,0,0,0,0,0,1,58
2,2,chd avenue,0.95,sector 71,7917.0,1200.0,flat,Built Up area: 1200 (111.48 sq.m.),,1200.0,,2.0,2.0,0 ,5.0,South,undefined,0,0,0,0,0,1,0
3,3,ansal maple heights,1.5,sector 43,12658.0,1185.0,flat,Super Built up area 1400(130.06 sq.m.)Built Up area: 1385 sq.ft. (128.67 sq.m.)Carpet area: 1185 sq.ft. (110.09 sq.m.),1399.952834,1385.0,1185.0,3.0,3.0,3+ ,7.0,North-East,old property,0,0,0,0,1,0,174
4,4,sector 15 part 2 rwa,10.0,sector 15,22222.0,4500.045000450004,house,Plot area 502(419.74 sq.m.),,4518.0,,5.0,5.0,2 ,2.0,East,old property,0,0,0,0,0,1,49
5,5,ansal height 86,0.8,sector 86,5882.0,1360.0,flat,Built Up area: 1360 (126.35 sq.m.),,1360.0,,2.0,2.0,0 ,1.0,,undefined,0,0,0,0,0,1,0
6,6,pareena mi casa,1.1,sector 68,9020.0,1220.0,flat,Super Built up area 1245(115.66 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),1244.952674,,1225.0,2.0,2.0,3 ,13.0,East,new Property,0,0,0,0,0,1,106
7,7,,10.0,sector 24,229885.0,435.0001087500272,house,Carpet area: 435 (40.41 sq.m.),,,435.0,8.0,10.0,3+ ,1.0,West,undefined,0,0,0,0,0,1,0
8,8,sare crescent parc,0.92,sector 92,4854.0,1895.0,flat,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),,1895.0,1600.0,4.0,5.0,3+ ,14.0,North-East,moderately old,0,0,0,0,0,0,131
9,9,godrej habitat,1.3,sector 3,9002.0,1444.0,flat,Carpet area: 1444 (134.15 sq.m.),,,1444.0,2.0,2.0,2 ,6.0,,under construction,0,0,0,0,0,1,36
10,10,bestech spa signature,4.4,sector 81,12571.0,3500.0,flat,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4199.966141,3700.0,3500.0,4.0,4.0,3+ ,6.0,South-West,new Property,1,1,1,1,0,2,49
11,11,puri emerald bay,2.65,sector 104,15007.0,1766.0,flat,Super Built up area 2450(227.61 sq.m.)Carpet area: 1765.73 sq.ft. (164.04 sq.m.),2449.971279,,1765.73,3.0,4.0,3 ,15.0,North-East,relatively new,1,0,0,0,0,0,174
12,12,signature global city,1.1,sector 37d,8800.0,1250.0,flat,Carpet area: 1250 (116.13 sq.m.),,,1250.0,3.0,3.0,3 ,1.0,,old property,0,0,0,0,0,1,16
13,13,signature global city 92,0.78,sector 92,8047.0,969.0,flat,Super Built up area 1197(111.2 sq.m.),1196.94568,,,2.0,2.0,2 ,2.0,,new Property,0,0,0,0,0,0,47
14,14,emaar mgf palm hills,1.64,sector 77,8410.0,1950.0,flat,Super Built up area 1950(181.16 sq.m.),1949.988124,,,4.0,3.0,3 ,9.0,South,relatively new,1,0,0,0,0,1,102
15,15,conscient heritage max,2.15,sector 102,10004.0,2149.0,flat,Super Built up area 2149(199.65 sq.m.),2149.012635,,,3.0,4.0,3+ ,18.0,South,relatively new,1,0,1,0,0,0,134
16,16,emaar mgf emerald floors,3.2,sector 65,10159.0,3150.0,flat,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),,3150.0,1750.0,4.0,3.0,2 ,1.0,,relatively new,1,0,0,0,0,1,0
17,17,vatika the seven lamps,0.89,sector 82,8850.0,1006.0,flat,Super Built up area 1428.08(132.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1428.08,,1000.0,2.0,2.0,2 ,14.0,East,relatively new,0,0,1,0,0,0,129
18,18,dhoot time residency,2.2,sector 63,12813.0,1717.0,flat,Super Built up area 1717(159.51 sq.m.),1716.9496889999998,,,3.0,4.0,3+ ,8.0,North-West,moderately old,0,0,1,0,0,0,61
19,19,dlf the primus,1.85,sector 82a,10283.0,1799.0,flat,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),1798.970607,,1538.0,3.0,3.0,3+ ,2.0,South,relatively new,0,0,0,0,0,0,44
20,20,m3m heights,1.9,sector 65,13991.0,1358.0,flat,Built Up area: 1358 (126.16 sq.m.),,1358.0,,2.0,2.0,2 ,40.0,,undefined,0,0,0,0,0,1,48
21,21,puri diplomatic greens,2.25,sector 111,13235.0,1700.0,flat,Super Built up area 1700(157.94 sq.m.),1700.050366,,,3.0,3.0,2 ,12.0,North-East,relatively new,0,0,0,0,0,1,101
22,22,smart world orchard,1.6,sector 61,13913.0,1150.0,flat,Carpet area: 1150 (106.84 sq.m.),,,1150.0,2.0,2.0,2 ,4.0,North-East,new Property,0,0,1,1,0,1,29
23,23,,9.9,sector 25,29333.0,3375.0383527085537,house,Plot area 375(313.55 sq.m.),,3375.0,,5.0,5.0,2 ,2.0,South-East,moderately old,0,1,0,0,0,0,106
