sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
77.0,0.0,2200.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,2.99
113.0,0.0,817.159,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.58
84.0,0.0,1192.836,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.95
52.0,0.0,1385.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.5
23.0,1.0,4491.218,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0
100.0,0.0,1351.945,2.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.8
79.0,0.0,1248.753208277422,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.1
107.0,0.0,1883.735,4.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.92
36.0,0.0,1614.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.3
94.0,0.0,3700.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,4.4
8.0,0.0,2094.8327764821724,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.65
46.0,0.0,1397.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.1
107.0,0.0,1076.8787738039946,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.78
89.0,0.0,1754.3827217835578,4.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.64
6.0,0.0,1933.4428704133768,3.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,2.15
75.0,0.0,3131.248,4.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,3.2
95.0,0.0,1204.6327715647649,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.89
73.0,0.0,1544.7206223873663,3.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.2
96.0,0.0,1673.9496206959225,3.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.85
75.0,0.0,1349.9119999999998,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.9
17.0,0.0,1529.5164886205296,3.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,2.25
71.0,0.0,1285.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.6
32.0,1.0,3354.985,5.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,9.9
71.0,0.0,1731.0,3.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.25
91.0,0.0,1934.31444496052,3.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,2.69
62.0,0.0,2667.5991639572685,3.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,6.5
113.0,0.0,794.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,0.46
107.0,0.0,1754.3827217835578,4.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.95
76.0,1.0,3220.807,5.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,12.0
95.0,0.0,1789.361,4.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.45
57.0,0.0,2459.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.72
1.0,0.0,1747.524,3.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.08
46.0,0.0,1650.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.95
99.0,0.0,1700.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.18
10.0,0.0,1186.0,3.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,1.25
75.0,0.0,1424.4909999999998,2.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,2.15
109.0,0.0,890.6523455643288,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.56
106.0,0.0,1263.2020436600092,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.96
49.0,0.0,1509.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.05
105.0,0.0,1617.0,3.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.25
11.0,0.0,611.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.36
107.0,0.0,575.8202508128193,3.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.5
113.0,0.0,979.0253404997457,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.73
12.0,0.0,2833.039,3.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.5
103.0,0.0,1379.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.97
10.0,0.0,940.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.92
109.0,0.0,666.0749999999999,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.41
113.0,0.0,517.6370393530592,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.3
75.0,0.0,1776.849976776591,4.0,4.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0
6.0,0.0,1317.1563616125054,3.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.35
6.0,0.0,1456.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0
8.0,0.0,511.43716710403993,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.4
3.0,0.0,1280.2537070410451,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.6
94.0,0.0,1918.1418950301909,3.0,3.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,2.25
6.0,0.0,823.25058058523,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.96
36.0,1.0,745.576,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.55
55.0,0.0,1876.790524849048,3.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,2.4
99.0,0.0,2529.8903855085928,4.0,5.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.1
88.0,0.0,1504.2408267533674,3.0,3.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.9
21.0,1.0,8100.0,10.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,9.0
95.0,0.0,4399.514630747794,4.0,6.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0
27.0,0.0,5030.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,3.35
18.0,0.0,4771.451,4.0,5.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,6.5
95.0,0.0,1286.5408732001858,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.85
100.0,0.0,1735.4986065954483,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.72
75.0,0.0,1464.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.8
11.0,0.0,2124.124013005109,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.4
65.0,0.0,1799.414073385973,3.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,1.55
56.0,1.0,2710.845,5.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,5.15
106.0,0.0,1700.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.4
99.0,0.0,20256.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.5
113.0,0.0,1375.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.74
82.0,0.0,1529.927492825812,3.0,5.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.66
83.0,1.0,1621.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.18
8.0,0.0,1122.1496948924516,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.4
33.0,1.0,4491.218,5.0,6.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,15.0
41.0,0.0,1453.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.35
